id,proper,x,y,z,mag,ci
28309,Mahasim,0.049188,40.426416,30.69934,2.65,-0.083
82399,Mahsati,-51.7543,-173.956642,38.490448,8.38,0.9
17532,Maia,59.14718,89.215057,48.48319,3.87,-0.063
80637,Marfik,-20.104527,-49.089266,1.837527,3.82,0.022
113603,Markab,38.311434,-9.417123,10.722722,2.49,-0.002
45809,Markeb,-77.65777,63.951481,-143.729782,2.47,-0.141
78804,Marsic,-50.571259,-95.186266,33.050231,5.0,0.931
78805,Marsic B,-289.369888,-544.699215,189.212514,6.25,1.14
118527,Maru,-4.914249,7.951662,-21.294446,13.92,0.05
111804,Matar,53.59916,-18.717064,33.070991,2.93,0.852
65221,Matza,-56.858287,-21.997276,-76.655891,7.01,0.093
32161,Mebsuta,-44.684834,230.247724,110.023705,3.06,1.377
59592,Megrez,-13.402309,-0.903455,20.710384,3.32,0.077
26142,Meissa,35.907504,329.702779,58.086365,3.39,-0.16
34000,Mekbuda,-109.067807,379.683873,148.25163,4.01,0.899
42437,Meleph,-109.202884,129.624965,60.169858,6.29,0.17
28288,Menkalinan,0.036195,17.601288,17.569058,1.9,0.077
14100,Menkar,53.342561,54.414384,5.448321,2.54,1.63
68714,Menkent,-12.358808,-7.624204,-10.694288,2.06,1.011
18567,Menkib,156.01015,267.421217,223.218208,3.98,0.016
53754,Merak,-13.103033,3.398358,20.360601,2.34,0.033
72261,Merga,-25.109461,-22.870123,35.313409,5.76,0.482
93819,Meridiana,9.052029,-28.941534,-23.610478,4.11,0.042
17566,Merope,58.663928,88.906234,47.309232,4.14,-0.051
8813,Mesarthim,41.769649,22.568336,16.620371,3.88,-0.047
45106,Miaplacidus,-8.980712,8.001552,-32.546536,1.67,0.07
62239,Mimosa,-42.168771,-8.909619,-73.723149,1.25,-0.238
42283,Minchir,-72.861703,87.795627,6.661268,4.45,1.216
62890,Minelauva,-58.94191,-14.587593,3.604756,3.39,1.571
25865,Mintaka,25.868117,210.729667,-1.108306,2.25,-0.175
10800,Mira,75.131148,52.288786,-4.761374,6.47,0.966
5436,Mirach,46.946371,14.741814,35.255129,2.07,1.576
13234,Miram,111.116108,102.442422,223.184985,3.77,1.69
15824,Mirfak,62.885098,77.880689,118.708804,1.79,0.481
30251,Mirzam,-14.209731,142.995999,-46.568852,1.98,-0.24
14632,Misam,16.593574,18.028979,24.381331,3.79,0.98
65173,Mizar,-14.115808,-5.413302,21.531272,2.23,0.057
72113,Mönch,-23.603748,-21.168292,-0.15576,8.04,0.781
8777,Mothallah,14.872602,7.99818,9.584806,3.42,0.488
22438,Mouhoun,32.206232,102.609681,-48.714197,7.91,0.961
33956,Muliphein,-35.835279,125.471916,-36.514903,4.11,-0.112
67711,Muphrid,-9.487671,-5.188142,3.596709,2.68,0.58
41586,Muscida,-16.37548,21.290022,47.898272,3.35,0.856
103195,Musica,51.937043,-52.652515,14.160751,5.51,0.934
44819,Nahn,-77.988303,71.865489,42.945282,5.16,0.97
39318,Naos,-130.674899,218.376203,-213.564535,2.21,-0.269
106642,Nashira,37.793496,-26.44095,-13.804954,3.69,0.32
40572,Násti,-14.7896,21.444841,47.900183,8.2,0.652
48099,Natasha,-17.62853,11.226113,-24.722742,8.54,0.855
73327,Nekkar,-36.876434,-37.508062,44.750903,3.49,0.956
7593,Nembus,32.669331,14.886999,40.762548,3.59,1.275
5044,Nenque,30.667693,8.890809,-26.310407,7.72,0.613
32829,Nervia,-7.453896,32.605159,28.93919,8.1,0.729
33769,Nganurganity,-80.775471,292.659236,-160.9853,3.49,1.729
25542,Nihal,6.349344,45.531613,-17.425966,2.81,0.807
74732,Nikawiy,-47.33943,-55.9706,65.389271,7.88,0.93
56916,Noquisi,-9.031878,0.703493,4.557621,10.67,1.493
31812,Nosaxa,-9.824884,55.678794,-64.000065,8.05,0.747
92564,Nunki,14.950858,-60.794062,-30.937099,2.05,-0.134
75466,Nusakan,-18.45833,-23.589253,16.675351,3.66,0.319
13159,Nushagak,17.335912,15.849496,71.246614,8.17,0.643
80593,Ogma,-23.714339,-57.602097,49.279323,8.15,0.611
