id,hip,proper,mag,ci,x,y,z
7736,7751,p Eridani,5.76,0.88,3.945945,1.835674,-6.500103
81020,81266,Paikauhale,2.82,-0.206,-45.960032,-119.546841,-68.7205
72144,72370,Paradys,3.83,1.433,-19.356924,-17.40793,-134.489842
100425,100751,Peacock,1.94,-0.118,17.850262,-24.200974,-45.841245
26569,26634,Phact,2.65,-0.12,5.885917,66.110037,-44.89318
57828,58001,Phecda,2.41,0.044,-15.094867,0.406425,20.552678
74868,75097,Pherkad,3.0,0.058,-29.797327,-35.741213,141.814461
61202,61394,Phyllon Kissinou,4.8,0.012,-86.726287,-13.290876,36.574715
40766,40881,Piautos,5.92,-0.039,-73.723045,104.765465,57.095809
88141,88414,Pincoya,9.62,1.396,0.490331,-36.066992,-19.63405
82294,82545,Pipirima,3.56,-0.21,-33.31875,-109.554458,-89.520712
31605,31685,Pipit,3.17,-0.103,-13.61885,81.907249,-77.960909
17809,17851,Pleione,5.05,-0.082,57.734463,89.91922,47.882552
115718,116084,Poerava,7.82,0.513,28.894288,-3.632398,-46.986336
11734,11767,Polaris,1.97,0.636,1.3431,1.047629,132.614909
104046,104382,Polaris Australis,5.45,0.283,1.150845,-1.065873,-86.118423
89064,89341,Polis,3.84,0.195,5600.996443,-93152.961403,-35932.639895
37718,37826,Pollux,1.16,0.991,-4.055465,8.19518,4.867171
61748,61941,Porrima,2.74,0.368,-11.488622,-2.111702,-0.295552
53075,53229,Praecipua,3.79,1.04,-23.041794,6.900625,16.355475
20155,20205,Prima Hyadum,3.65,0.981,20.197375,43.211662,13.342572
37173,37279,Procyon,0.4,0.432,-1.469312,3.17617,0.320024
29582,29655,Propus,3.31,1.6,-7.067151,108.713368,45.140745
70666,70890,Proxima Centauri,11.01,1.807,-0.472264,-0.361451,-1.151219
73467,73695,Quadrans,4.83,0.647,-5.858189,-6.055134,9.244209
88610,88886,Ramus,4.37,-0.164,10.031459,-262.374329,99.815819
16496,16537,Ran,3.72,0.881,1.89897,2.541426,-0.528523
17336,17378,Rana,3.52,0.915,5.006502,7.370189,-1.533131
